payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,read_path_speedup,write_path_speedup,logical_blocks,cold_read_latency_ms,write_latency_ms,roundtrip_latency_ms,cold_read_throughput_bytes_per_s,write_throughput_bytes_per_s,meets_read_500_MBps_target,meets_write_500_MBps_target,meets_roundtrip_target,meets_all_targets
1073741824,1024 MB,64,262144,256 KB,32,16,4096,13246.121675452205,38554.44019039665,51800.56186584885,81060845.60508493,27850017.240490332,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,32,4096,13246.121675452205,19597.22009519832,32843.34177065053,81060845.60508493,54790517.16437509,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,64,4096,13182.121675452205,10054.610047599164,23236.73172305137,81454400.92542356,106790996.2611019,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,128,4096,13150.121675452205,5283.305023799581,18433.426699251788,81652615.12404038,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,32,256,4096,13134.121675452205,2897.6525118997906,16031.774187351995,81752084.42044765,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,1,4096,8510.121675452205,607207.0430463463,615717.1647217985,126172323.37549913,1768329.0012794607,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,2,4096,8510.121675452205,303891.5215231731,312401.6431986253,126172323.37549913,3533306.288435304,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,4,4096,8510.121675452205,152233.76076158654,160743.88243703876,126172323.37549913,7053243.765563857,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,8,4096,8510.121675452205,76404.8803807933,84915.0020562455,126172323.37549913,14053314.63970092,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,16,4096,8510.121675452205,38490.44019039665,47000.56186584885,126172323.37549913,27896324.871542994,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,32,4096,8510.121675452205,19533.22009519832,28043.341770650528,126172323.37549913,54970036.62309363,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,64,4096,8510.121675452205,10054.610047599164,18564.73172305137,126172323.37549913,106790996.2611019,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,128,4096,8478.121675452205,5283.305023799581,13761.426699251786,126648550.83513872,203232979.95537645,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,64,256,4096,8462.121675452205,2897.6525118997906,11359.774187351995,126888015.22611299,370555758.35627776,False,False,False,False
1073741824,1024 MB,64,262144,256 KB,128,1,4096,6142.121675452205,607175.0430463463,613317.1647217985,174816110.9037208,1768422.1976792286,False,False,False,False
