trial,write_status,read_status,write_latency_ms,cold_read_latency_ms,roundtrip_latency_ms,write_stage_times_ms,read_stage_times_ms
44,completed,completed,103.2749030199966,141.60070979435235,244.87561281434895,"{""addressing"": 6.758424654542338, ""encoding"": 6.4220284677723845, ""molecular_write"": 75.09872489824046, ""write_verification"": 13.995724999441423, ""buffer"": 1.0}","{""addressing"": 7.307520823799787, ""molecular_access"": 51.436732150422706, ""sensing"": 37.99702724808783, ""basecalling"": 20.95632264738326, ""decoding"": 16.803124919887356, ""error_correction"": 6.09998200477143, ""buffer"": 1.0}"
45,completed,completed,145.63261054715485,132.36684962625816,277.999460173413,"{""addressing"": 9.275122242449122, ""encoding"": 5.868956426834699, ""molecular_write"": 114.84105102842601, ""write_verification"": 14.647480849445028, ""buffer"": 1.0}","{""addressing"": 10.457240538818677, ""molecular_access"": 42.3532880798927, ""sensing"": 29.537035380545866, ""basecalling"": 24.567574218690478, ""decoding"": 16.80774133413506, ""error_correction"": 7.643970074175351, ""buffer"": 1.0}"
46,completed,completed,167.95736958634959,117.8282029950906,285.7855725814402,"{""addressing"": 10.743962907865209, ""encoding"": 5.909649272124667, ""molecular_write"": 133.0246825713884, ""write_verification"": 17.27907483497131, ""buffer"": 1.0}","{""addressing"": 6.512333542392813, ""molecular_access"": 47.7795475452001, ""sensing"": 26.937137338200834, ""basecalling"": 15.390419453827509, ""decoding"": 11.394036950952193, ""error_correction"": 8.814728164517113, ""buffer"": 1.0}"
47,completed,completed,228.54860912791065,148.0826546015805,376.63126372949114,"{""addressing"": 7.165197395984798, ""encoding"": 5.617322032114834, ""molecular_write"": 201.04801914233957, ""write_verification"": 13.718070557471444, ""buffer"": 1.0}","{""addressing"": 7.832791150526907, ""molecular_access"": 82.89326757307381, ""sensing"": 26.01173314862524, ""basecalling"": 15.197025282347841, ""decoding"": 10.079498314173257, ""error_correction"": 5.068339132833419, ""buffer"": 1.0}"
48,completed,completed,153.39112046299374,129.0758447051744,282.46696516816814,"{""addressing"": 7.420174401077181, ""encoding"": 5.640892437486499, ""molecular_write"": 128.00356660723799, ""write_verification"": 11.326487017192083, ""buffer"": 1.0}","{""addressing"": 6.692493550770079, ""molecular_access"": 45.56431642664185, ""sensing"": 33.132590978562796, ""basecalling"": 18.932550763175843, ""decoding"": 14.408800033506681, ""error_correction"": 9.34509295251718, ""buffer"": 1.0}"
49,completed,completed,119.79672786035798,135.63569753509657,255.43242539545454,"{""addressing"": 7.462675325661832, ""encoding"": 7.106583046206377, ""molecular_write"": 87.65619025442967, ""write_verification"": 16.571279234060086, ""buffer"": 1.0}","{""addressing"": 6.391652658859298, ""molecular_access"": 60.97903290840006, ""sensing"": 35.37495067434234, ""basecalling"": 11.01221017655515, ""decoding"": 11.57817283084403, ""error_correction"": 9.299678286095688, ""buffer"": 1.0}"
50,completed,completed,154.87267204028453,136.03647126709498,290.9091433073795,"{""addressing"": 7.026642295137426, ""encoding"": 5.062332149989113, ""molecular_write"": 125.79039009455863, ""write_verification"": 15.993307500599355, ""buffer"": 1.0}","{""addressing"": 8.813076706583862, ""molecular_access"": 47.904232719561804, ""sensing"": 41.8719510417214, ""basecalling"": 18.464606323008447, ""decoding"": 9.81210989948648, ""error_correction"": 8.170494576733013, ""buffer"": 1.0}"
51,completed,completed,198.95324613203894,100.64381730324538,299.5970634352843,"{""addressing"": 8.116080593954834, ""encoding"": 6.567667819195844, ""molecular_write"": 166.61650877837332, ""write_verification"": 16.65298894051496, ""buffer"": 1.0}","{""addressing"": 9.768391454064897, ""molecular_access"": 27.92045120357081, ""sensing"": 28.94121882943911, ""basecalling"": 12.734393161432086, ""decoding"": 11.392257705929646, ""error_correction"": 8.887104948808851, ""buffer"": 1.0}"
52,completed,completed,143.97086426295226,131.73216649265015,275.7030307556024,"{""addressing"": 9.005487621594565, ""encoding"": 5.172622935924936, ""molecular_write"": 117.68052975084726, ""write_verification"": 11.11222395458551, ""buffer"": 1.0}","{""addressing"": 7.549123137115215, ""molecular_access"": 49.55214886395668, ""sensing"": 36.35851633343936, ""basecalling"": 15.800067468405649, ""decoding"": 11.868192038896174, ""error_correction"": 9.60411865083709, ""buffer"": 1.0}"
53,completed,completed,185.7101200825907,152.84150744083715,338.55162752342784,"{""addressing"": 7.832647238460725, ""encoding"": 6.328021392541384, ""molecular_write"": 151.95293957731485, ""write_verification"": 18.59651187427375, ""buffer"": 1.0}","{""addressing"": 8.195162803318011, ""molecular_access"": 67.37830388273592, ""sensing"": 37.785862268996844, ""basecalling"": 18.56883356279738, ""decoding"": 13.011342963447078, ""error_correction"": 6.902001959541912, ""buffer"": 1.0}"
54,completed,completed,173.84505272815593,123.48155171360801,297.32660444176395,"{""addressing"": 7.52465371848231, ""encoding"": 5.357502243263466, ""molecular_write"": 149.44872103922245, ""write_verification"": 10.514175727187695, ""buffer"": 1.0}","{""addressing"": 3.721201282765805, ""molecular_access"": 46.60749272485763, ""sensing"": 42.26967468047509, ""basecalling"": 10.44794242691524, ""decoding"": 12.091409382940077, ""error_correction"": 7.343831215654191, ""buffer"": 1.0}"
