payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,molecular_write_speedup,logical_blocks,write_latency_ms,cold_read_latency_ms,roundtrip_latency_ms,write_throughput_bytes_per_s,cold_read_throughput_bytes_per_s,write_rank
1073741824,1024 MB,64,16384,16 KB,32,65536,114573.22009519832,363489.94680723525,478063.16690243356,9371664.889123594,2953979.4248269075,32
1073741824,1024 MB,64,1048576,1 MB,16,1024,122778.44019039665,304047.53041886305,426825.9706092597,8745361.338154422,3531493.3244837997,33
1073741824,1024 MB,64,262144,256 KB,16,4096,123162.44019039665,306878.1216754522,430040.56186584884,8718094.756324282,3498919.434652844,34
1073741824,1024 MB,64,65536,64 KB,16,16384,124698.44019039665,318200.4867018088,442898.9268922055,8610707.739090802,3374419.175562802,35
1073741824,1024 MB,128,4096,4 KB,4,262144,126516.88038079327,272323.89361447055,398840.77399526385,8486945.14730547,3942885.105484348,36
1073741824,1024 MB,64,16384,16 KB,16,65536,130842.44019039665,363489.94680723525,494332.38699763187,8206372.660411516,2953979.4248269075,37
1073741824,1024 MB,64,4096,4 KB,64,262144,131014.61004759917,544647.7872289411,675662.3972765403,8195588.443227032,1971442.552742174,38
1073741824,1024 MB,64,4096,4 KB,32,262144,139149.2200951983,544647.7872289411,683797.0073241394,7716477.485575588,1971442.552742174,39
1073741824,1024 MB,64,1048576,1 MB,8,1024,155316.8803807933,304047.53041886305,459364.41079965635,6913233.2645845525,3531493.3244837997,40
1073741824,1024 MB,64,4096,4 KB,16,262144,155418.44019039665,544647.7872289411,700066.2274193377,6908715.7398092775,1971442.552742174,41
1073741824,1024 MB,64,262144,256 KB,8,4096,155700.8803807933,306878.1216754522,462579.0020562455,6896183.382996805,3498919.434652844,42
1073741824,1024 MB,64,65536,64 KB,8,16384,157236.8803807933,318200.4867018088,475437.3670826021,6828816.632584114,3374419.175562802,43
1073741824,1024 MB,64,16384,16 KB,8,65536,163380.8803807933,363489.94680723525,526870.8271880285,6572016.391987975,2953979.4248269075,44
1073741824,1024 MB,128,1048576,1 MB,2,1024,175273.76076158654,152023.76520943153,327297.52597101807,6126084.242926361,7062986.6489675995,45
1073741824,1024 MB,128,262144,256 KB,2,4096,175465.76076158654,153439.0608377261,328904.82159931265,6119380.894252883,6997838.869305688,46
1073741824,1024 MB,128,65536,64 KB,2,16384,176233.76076158654,159100.2433509044,335334.0041124909,6092713.56044308,6748838.351125604,47
1073741824,1024 MB,128,16384,16 KB,2,65536,179305.76076158654,181744.97340361762,361050.73416520417,5988328.648445925,5907958.849653815,48
1073741824,1024 MB,64,4096,4 KB,8,262144,187956.8803807933,544647.7872289411,732604.6676097345,5712702.944551117,1971442.552742174,49
1073741824,1024 MB,128,4096,4 KB,2,262144,191593.76076158654,272323.89361447055,463917.6543760571,5604262.997562492,3942885.105484348,50
1073741824,1024 MB,32,1048576,1 MB,64,1024,196749.22009519834,608095.0608377261,804844.2809329245,5457413.368553447,1765746.6622418999,51
1073741824,1024 MB,32,262144,256 KB,64,4096,197517.22009519834,613756.2433509044,811273.4634461028,5436193.479649438,1749459.717326422,52
1073741824,1024 MB,32,65536,64 KB,64,16384,200589.22009519834,636400.9734036176,836990.193498816,5352938.824381536,1687209.587781401,53
1073741824,1024 MB,32,16384,16 KB,64,65536,212877.22009519834,726979.8936144705,939857.1137096689,5043948.918159606,1476989.7124134537,54
1073741824,1024 MB,32,1048576,1 MB,32,1024,213018.44019039665,608095.0608377261,821113.5010281227,5040605.043583483,1765746.6622418999,55
1073741824,1024 MB,32,262144,256 KB,32,4096,213786.44019039665,613756.2433509044,827542.683541301,5022497.325105059,1749459.717326422,56
1073741824,1024 MB,32,65536,64 KB,32,16384,216858.44019039665,636400.9734036176,853259.4135940142,4951349.013934066,1687209.587781401,57
1073741824,1024 MB,64,1048576,1 MB,4,1024,220393.76076158654,304047.53041886305,524441.2911804495,4871924.778131684,3531493.3244837997,58
1073741824,1024 MB,64,262144,256 KB,4,4096,220777.76076158654,306878.1216754522,527655.8824370387,4863451.011986267,3498919.434652844,59
1073741824,1024 MB,64,65536,64 KB,4,16384,222313.76076158654,318200.4867018088,540514.2474633954,4829848.680179096,3374419.175562802,60
1073741824,1024 MB,64,16384,16 KB,4,65536,228457.76076158654,363489.94680723525,591947.7075688217,4699957.7533307485,2953979.4248269075,61
1073741824,1024 MB,32,16384,16 KB,32,65536,229146.44019039665,726979.8936144705,956126.3338048671,4685832.444561797,1476989.7124134537,62
1073741824,1024 MB,32,1048576,1 MB,16,1024,245556.8803807933,608095.0608377261,853651.9412185194,4372680.669077211,1765746.6622418999,63
1073741824,1024 MB,32,262144,256 KB,16,4096,246324.8803807933,613756.2433509044,860081.1237316977,4359047.378162141,1749459.717326422,64
